Energy[MeV]	A_eff[cm^2]
5.04316e+0	2.82814e+1
1.00000e+1	1.84637e+2
1.58489e+1	3.00522e+2
3.18202e+1	5.06719e+2
5.04316e+1	6.32044e+2
1.00000e+2	8.16670e+2
1.58489e+2	8.86595e+2
3.18202e+2	9.30221e+2
5.04316e+2	9.09994e+2
1.00000e+3	8.11959e+2
1.58489e+3	7.24078e+2
3.18202e+3	5.06719e+2
5.01187e+3	4.00173e+2
